,x,y
0,0.0,0.26
1,0.0,0.42
2,0.0,0.24
3,0.0,0.39
4,0.0,0.39
5,30.292929292929294,0.1
6,30.292929292929294,0.4
7,30.292929292929294,0.18
8,30.292929292929294,0.44
9,30.292929292929294,0.43
10,60.58585858585859,0.21
11,60.58585858585859,0.26
12,60.58585858585859,0.28
13,60.58585858585859,0.43
14,60.58585858585859,0.39
15,90.87878787878788,0.39
16,90.87878787878788,0.22
17,90.87878787878788,0.1
18,90.87878787878788,0.36
19,90.87878787878788,0.39
20,121.17171717171718,0.42
21,121.17171717171718,0.17
22,121.17171717171718,0.21
23,121.17171717171718,0.24
24,121.17171717171718,0.25
25,151.46464646464648,0.15
26,151.46464646464648,0.46
27,151.46464646464648,0.49
28,151.46464646464648,0.37
29,151.46464646464648,0.32
30,181.75757575757575,0.37
31,181.75757575757575,0.43
32,181.75757575757575,0.47
33,181.75757575757575,0.48
34,181.75757575757575,0.37
35,212.05050505050505,0.48
36,212.05050505050505,0.41
37,212.05050505050505,0.46
38,212.05050505050505,0.49
39,212.05050505050505,0.48
40,242.34343434343435,0.26
41,242.34343434343435,0.47
42,242.34343434343435,0.49
43,242.34343434343435,0.32
44,242.34343434343435,0.39
45,272.6363636363636,0.5
46,272.6363636363636,0.5
47,272.6363636363636,0.5
48,272.6363636363636,0.51
49,272.6363636363636,0.51
50,302.92929292929296,0.2
51,302.92929292929296,0.27
52,302.92929292929296,0.48
53,302.92929292929296,0.34
54,302.92929292929296,0.39
55,333.22222222222223,0.33
56,333.22222222222223,0.24
57,333.22222222222223,0.57
58,333.22222222222223,0.53
59,333.22222222222223,0.5
60,363.5151515151515,0.56
61,363.5151515151515,0.54
62,363.5151515151515,0.47
63,363.5151515151515,0.42
64,363.5151515151515,0.38
65,393.80808080808083,0.47
66,393.80808080808083,0.59
67,393.80808080808083,0.49
68,393.80808080808083,0.42
69,393.80808080808083,0.29
70,424.1010101010101,0.4
71,424.1010101010101,0.51
72,424.1010101010101,0.37
73,424.1010101010101,0.24
74,424.1010101010101,0.47
75,454.39393939393943,0.59
76,454.39393939393943,0.55
77,454.39393939393943,0.4
78,454.39393939393943,0.45
79,454.39393939393943,0.52
80,484.6868686868687,0.64
81,484.6868686868687,0.45
82,484.6868686868687,0.46
83,484.6868686868687,0.39
84,484.6868686868687,0.63
85,514.979797979798,0.4
86,514.979797979798,0.63
87,514.979797979798,0.62
88,514.979797979798,0.31
89,514.979797979798,0.35
90,545.2727272727273,0.62
91,545.2727272727273,0.51
92,545.2727272727273,0.43
93,545.2727272727273,0.61
94,545.2727272727273,0.62
95,575.5656565656566,0.47
96,575.5656565656566,0.59
97,575.5656565656566,0.38
98,575.5656565656566,0.46
99,575.5656565656566,0.49
100,605.8585858585859,0.68
101,605.8585858585859,0.52
102,605.8585858585859,0.41
103,605.8585858585859,0.54
104,605.8585858585859,0.62
105,636.1515151515151,0.7
106,636.1515151515151,0.43
107,636.1515151515151,0.56
108,636.1515151515151,0.35
109,636.1515151515151,0.58
110,666.4444444444445,0.41
111,666.4444444444445,0.41
112,666.4444444444445,0.65
113,666.4444444444445,0.39
114,666.4444444444445,0.63
115,696.7373737373738,0.65
116,696.7373737373738,0.61
117,696.7373737373738,0.65
118,696.7373737373738,0.46
119,696.7373737373738,0.6
120,727.030303030303,0.61
121,727.030303030303,0.34
122,727.030303030303,0.59
123,727.030303030303,0.55
124,727.030303030303,0.58
125,757.3232323232323,0.73
126,757.3232323232323,0.53
127,757.3232323232323,0.55
128,757.3232323232323,0.57
129,757.3232323232323,0.54
130,787.6161616161617,0.62
131,787.6161616161617,0.68
132,787.6161616161617,0.69
133,787.6161616161617,0.73
134,787.6161616161617,0.56
135,817.909090909091,0.72
136,817.909090909091,0.73
137,817.909090909091,0.73
138,817.909090909091,0.62
139,817.909090909091,0.67
140,848.2020202020202,0.72
141,848.2020202020202,0.72
142,848.2020202020202,0.56
143,848.2020202020202,0.54
144,848.2020202020202,0.59
145,878.4949494949495,0.64
146,878.4949494949495,0.72
147,878.4949494949495,0.66
148,878.4949494949495,0.76
149,878.4949494949495,0.61
150,908.7878787878789,0.74
151,908.7878787878789,0.58
152,908.7878787878789,0.54
153,908.7878787878789,0.61
154,908.7878787878789,0.67
155,939.0808080808081,0.63
156,939.0808080808081,0.45
157,939.0808080808081,0.75
158,939.0808080808081,0.7
159,939.0808080808081,0.49
160,969.3737373737374,0.59
161,969.3737373737374,0.65
162,969.3737373737374,0.37
163,969.3737373737374,0.74
164,969.3737373737374,0.74
165,999.6666666666667,0.61
166,999.6666666666667,0.69
167,999.6666666666667,0.6
168,999.6666666666667,0.67
169,999.6666666666667,0.62
170,1029.959595959596,0.76
171,1029.959595959596,0.64
172,1029.959595959596,0.53
173,1029.959595959596,0.76
174,1029.959595959596,0.52
175,1060.2525252525254,0.77
176,1060.2525252525254,0.6
177,1060.2525252525254,0.77
178,1060.2525252525254,0.64
179,1060.2525252525254,0.46
180,1090.5454545454545,0.6
181,1090.5454545454545,0.68
182,1090.5454545454545,0.59
183,1090.5454545454545,0.53
184,1090.5454545454545,0.51
185,1120.8383838383838,0.78
186,1120.8383838383838,0.44
187,1120.8383838383838,0.59
188,1120.8383838383838,0.66
189,1120.8383838383838,0.82
190,1151.1313131313132,0.71
191,1151.1313131313132,0.77
192,1151.1313131313132,0.52
193,1151.1313131313132,0.8
194,1151.1313131313132,0.81
195,1181.4242424242425,0.81
196,1181.4242424242425,0.71
197,1181.4242424242425,0.59
198,1181.4242424242425,0.53
199,1181.4242424242425,0.82
200,1211.7171717171718,0.78
201,1211.7171717171718,0.62
202,1211.7171717171718,0.57
203,1211.7171717171718,0.62
204,1211.7171717171718,0.56
205,1242.0101010101012,0.59
206,1242.0101010101012,0.76
207,1242.0101010101012,0.75
208,1242.0101010101012,0.66
209,1242.0101010101012,0.76
210,1272.3030303030303,0.77
211,1272.3030303030303,0.84
212,1272.3030303030303,0.64
213,1272.3030303030303,0.83
214,1272.3030303030303,0.69
215,1302.5959595959596,0.79
216,1302.5959595959596,0.5
217,1302.5959595959596,0.6
218,1302.5959595959596,0.54
219,1302.5959595959596,0.73
220,1332.888888888889,0.83
221,1332.888888888889,0.85
222,1332.888888888889,0.59
223,1332.888888888889,0.82
224,1332.888888888889,0.69
225,1363.1818181818182,0.77
226,1363.1818181818182,0.69
227,1363.1818181818182,0.83
228,1363.1818181818182,0.62
229,1363.1818181818182,0.84
230,1393.4747474747476,0.8
231,1393.4747474747476,0.85
232,1393.4747474747476,0.62
233,1393.4747474747476,0.84
234,1393.4747474747476,0.83
235,1423.767676767677,0.58
236,1423.767676767677,0.81
237,1423.767676767677,0.58
238,1423.767676767677,0.87
239,1423.767676767677,0.74
240,1454.060606060606,0.83
241,1454.060606060606,0.86
242,1454.060606060606,0.8
243,1454.060606060606,0.52
244,1454.060606060606,0.79
245,1484.3535353535353,0.52
246,1484.3535353535353,0.71
247,1484.3535353535353,0.68
248,1484.3535353535353,0.72
249,1484.3535353535353,0.83
250,1514.6464646464647,0.59
251,1514.6464646464647,0.68
252,1514.6464646464647,0.86
253,1514.6464646464647,0.51
254,1514.6464646464647,0.69
255,1544.939393939394,0.73
256,1544.939393939394,0.69
257,1544.939393939394,0.82
258,1544.939393939394,0.63
259,1544.939393939394,0.77
260,1575.2323232323233,0.64
261,1575.2323232323233,0.86
262,1575.2323232323233,0.7
263,1575.2323232323233,0.64
264,1575.2323232323233,0.88
265,1605.5252525252527,0.8
266,1605.5252525252527,0.54
267,1605.5252525252527,0.66
268,1605.5252525252527,0.79
269,1605.5252525252527,0.76
270,1635.818181818182,0.88
271,1635.818181818182,0.84
272,1635.818181818182,0.8
273,1635.818181818182,0.77
274,1635.818181818182,0.8
275,1666.111111111111,0.89
276,1666.111111111111,0.72
277,1666.111111111111,0.8
278,1666.111111111111,0.61
279,1666.111111111111,0.73
280,1696.4040404040404,0.81
281,1696.4040404040404,0.9
282,1696.4040404040404,0.66
283,1696.4040404040404,0.8
284,1696.4040404040404,0.59
285,1726.6969696969697,0.78
286,1726.6969696969697,0.77
287,1726.6969696969697,0.89
288,1726.6969696969697,0.81
289,1726.6969696969697,0.92
290,1756.989898989899,0.8
291,1756.989898989899,0.91
292,1756.989898989899,0.84
293,1756.989898989899,0.91
294,1756.989898989899,0.91
295,1787.2828282828284,0.91
296,1787.2828282828284,0.66
297,1787.2828282828284,0.65
298,1787.2828282828284,0.66
299,1787.2828282828284,0.86
300,1817.5757575757577,0.86
301,1817.5757575757577,0.82
302,1817.5757575757577,0.7
303,1817.5757575757577,0.86
304,1817.5757575757577,0.75
305,1847.8686868686868,0.65
306,1847.8686868686868,0.62
307,1847.8686868686868,0.75
308,1847.8686868686868,0.8
309,1847.8686868686868,0.79
310,1878.1616161616162,0.8
311,1878.1616161616162,0.77
312,1878.1616161616162,0.89
313,1878.1616161616162,0.82
314,1878.1616161616162,0.87
315,1908.4545454545455,0.95
316,1908.4545454545455,0.93
317,1908.4545454545455,0.94
318,1908.4545454545455,0.79
319,1908.4545454545455,0.71
320,1938.7474747474748,0.81
321,1938.7474747474748,0.85
322,1938.7474747474748,0.84
323,1938.7474747474748,0.82
324,1938.7474747474748,0.86
325,1969.0404040404042,0.81
326,1969.0404040404042,0.6
327,1969.0404040404042,0.93
328,1969.0404040404042,0.91
329,1969.0404040404042,0.82
330,1999.3333333333335,0.63
331,1999.3333333333335,0.67
332,1999.3333333333335,0.88
333,1999.3333333333335,0.69
334,1999.3333333333335,0.85
335,2029.6262626262628,0.81
336,2029.6262626262628,0.83
337,2029.6262626262628,0.97
338,2029.6262626262628,0.86
339,2029.6262626262628,0.91
340,2059.919191919192,0.94
341,2059.919191919192,0.96
342,2059.919191919192,0.8
343,2059.919191919192,0.67
344,2059.919191919192,0.91
345,2090.2121212121215,0.96
346,2090.2121212121215,0.79
347,2090.2121212121215,0.87
348,2090.2121212121215,0.88
349,2090.2121212121215,0.63
350,2120.505050505051,0.81
351,2120.505050505051,0.67
352,2120.505050505051,0.72
353,2120.505050505051,0.78
354,2120.505050505051,0.79
355,2150.7979797979797,0.81
356,2150.7979797979797,0.66
357,2150.7979797979797,0.64
358,2150.7979797979797,0.93
359,2150.7979797979797,0.8
360,2181.090909090909,0.69
361,2181.090909090909,0.8
362,2181.090909090909,0.77
363,2181.090909090909,0.81
364,2181.090909090909,0.93
365,2211.3838383838383,0.88
366,2211.3838383838383,0.87
367,2211.3838383838383,0.85
368,2211.3838383838383,0.81
369,2211.3838383838383,0.85
370,2241.6767676767677,0.83
371,2241.6767676767677,0.89
372,2241.6767676767677,0.97
373,2241.6767676767677,0.69
374,2241.6767676767677,0.95
375,2271.969696969697,0.76
376,2271.969696969697,0.76
377,2271.969696969697,0.66
378,2271.969696969697,0.87
379,2271.969696969697,0.91
380,2302.2626262626263,0.94
381,2302.2626262626263,0.79
382,2302.2626262626263,0.7
383,2302.2626262626263,1.0
384,2302.2626262626263,0.71
385,2332.5555555555557,0.86
386,2332.5555555555557,0.65
387,2332.5555555555557,0.89
388,2332.5555555555557,0.72
389,2332.5555555555557,0.92
390,2362.848484848485,0.79
391,2362.848484848485,0.81
392,2362.848484848485,0.96
393,2362.848484848485,0.83
394,2362.848484848485,0.96
395,2393.1414141414143,0.93
396,2393.1414141414143,0.93
397,2393.1414141414143,0.6
398,2393.1414141414143,0.84
399,2393.1414141414143,0.91
400,2423.4343434343436,0.95
401,2423.4343434343436,0.9
402,2423.4343434343436,0.97
403,2423.4343434343436,0.73
404,2423.4343434343436,0.88
405,2453.727272727273,0.87
406,2453.727272727273,0.73
407,2453.727272727273,0.9
408,2453.727272727273,0.92
409,2453.727272727273,0.94
410,2484.0202020202023,0.99
411,2484.0202020202023,0.62
412,2484.0202020202023,0.78
413,2484.0202020202023,0.73
414,2484.0202020202023,0.87
415,2514.3131313131316,0.96
416,2514.3131313131316,0.98
417,2514.3131313131316,0.99
418,2514.3131313131316,0.94
419,2514.3131313131316,0.87
420,2544.6060606060605,1.0
421,2544.6060606060605,0.91
422,2544.6060606060605,0.78
423,2544.6060606060605,0.85
424,2544.6060606060605,0.76
425,2574.89898989899,0.7
426,2574.89898989899,0.98
427,2574.89898989899,0.96
428,2574.89898989899,0.95
429,2574.89898989899,0.93
430,2605.191919191919,0.96
431,2605.191919191919,0.98
432,2605.191919191919,0.95
433,2605.191919191919,0.98
434,2605.191919191919,0.92
435,2635.4848484848485,0.98
436,2635.4848484848485,0.74
437,2635.4848484848485,0.72
438,2635.4848484848485,0.94
439,2635.4848484848485,0.89
440,2665.777777777778,0.83
441,2665.777777777778,0.9
442,2665.777777777778,0.84
443,2665.777777777778,0.79
444,2665.777777777778,0.81
445,2696.070707070707,0.96
446,2696.070707070707,0.85
447,2696.070707070707,0.91
448,2696.070707070707,1.0
449,2696.070707070707,0.87
450,2726.3636363636365,0.95
451,2726.3636363636365,1.0
452,2726.3636363636365,0.78
453,2726.3636363636365,0.78
454,2726.3636363636365,0.85
455,2756.656565656566,0.88
456,2756.656565656566,0.84
457,2756.656565656566,0.83
458,2756.656565656566,0.93
459,2756.656565656566,0.69
460,2786.949494949495,0.88
461,2786.949494949495,0.93
462,2786.949494949495,0.87
463,2786.949494949495,0.96
464,2786.949494949495,0.86
465,2817.2424242424245,0.97
466,2817.2424242424245,0.95
467,2817.2424242424245,0.65
468,2817.2424242424245,0.75
469,2817.2424242424245,0.74
470,2847.535353535354,0.94
471,2847.535353535354,0.86
472,2847.535353535354,0.95
473,2847.535353535354,0.65
474,2847.535353535354,0.93
475,2877.828282828283,0.94
476,2877.828282828283,0.92
477,2877.828282828283,0.77
478,2877.828282828283,0.9
479,2877.828282828283,1.0
480,2908.121212121212,0.91
481,2908.121212121212,0.95
482,2908.121212121212,0.86
483,2908.121212121212,0.86
484,2908.121212121212,0.8
485,2938.4141414141413,0.69
486,2938.4141414141413,0.83
487,2938.4141414141413,0.91
488,2938.4141414141413,0.76
489,2938.4141414141413,0.92
