,time,signal
0,0.0,0.28
1,0.0,0.21
2,0.0,0.15
3,0.0,0.07
4,0.0,0.17
5,20.076305220883533,0.3
6,20.076305220883533,0.14
7,20.076305220883533,0.12
8,20.076305220883533,0.04
9,20.076305220883533,0.07
10,40.15261044176707,0.06
11,40.15261044176707,0.3
12,40.15261044176707,0.06
13,40.15261044176707,0.22
14,40.15261044176707,0.15
15,60.2289156626506,0.01
16,60.2289156626506,0.17
17,60.2289156626506,0.3
18,60.2289156626506,0.16
19,60.2289156626506,0.25
20,80.30522088353413,0.21
21,80.30522088353413,0.16
22,80.30522088353413,0.19
23,80.30522088353413,0.21
24,80.30522088353413,0.24
25,100.38152610441767,0.22
26,100.38152610441767,0.31
27,100.38152610441767,0.3
28,100.38152610441767,0.18
29,100.38152610441767,0.32
30,120.4578313253012,0.24
31,120.4578313253012,0.33
32,120.4578313253012,0.18
33,120.4578313253012,0.24
34,120.4578313253012,0.16
35,140.53413654618473,0.22
36,140.53413654618473,0.16
37,140.53413654618473,0.29
38,140.53413654618473,0.24
39,140.53413654618473,0.13
40,160.61044176706827,0.15
41,160.61044176706827,0.24
42,160.61044176706827,0.27
43,160.61044176706827,0.31
44,160.61044176706827,0.05
45,180.6867469879518,0.04
46,180.6867469879518,0.06
47,180.6867469879518,0.27
48,180.6867469879518,0.19
49,180.6867469879518,0.25
50,200.76305220883535,0.33
51,200.76305220883535,0.22
52,200.76305220883535,0.31
53,200.76305220883535,0.3
54,200.76305220883535,0.16
55,220.83935742971886,0.28
56,220.83935742971886,0.36
57,220.83935742971886,0.37
58,220.83935742971886,0.3
59,220.83935742971886,0.15
60,240.9156626506024,0.29
61,240.9156626506024,0.29
62,240.9156626506024,0.04
63,240.9156626506024,0.23
64,240.9156626506024,0.19
65,260.99196787148594,0.18
66,260.99196787148594,0.27
67,260.99196787148594,0.28
68,260.99196787148594,0.32
69,260.99196787148594,0.37
70,281.06827309236945,0.34
71,281.06827309236945,0.4
72,281.06827309236945,0.34
