,x,y
0,3000.0,0.27
1,3000.0,0.23
2,3000.0,0.2
3,3000.0,0.27
4,3000.0,0.26
5,3020.0,0.31
6,3020.0,0.28
7,3020.0,0.24
8,3020.0,0.34
9,3020.0,0.27
10,3040.0,0.38
11,3040.0,0.34
12,3040.0,0.39
13,3040.0,0.33
14,3040.0,0.32
15,3060.0,0.32
16,3060.0,0.3
17,3060.0,0.4
18,3060.0,0.43
19,3060.0,0.35
20,3080.0,0.4
21,3080.0,0.37
22,3080.0,0.36
23,3080.0,0.39
24,3080.0,0.38
25,3100.0,0.45
26,3100.0,0.49
27,3100.0,0.46
28,3100.0,0.44
29,3100.0,0.44
30,3120.0,0.45
31,3120.0,0.53
32,3120.0,0.51
33,3120.0,0.48
34,3120.0,0.48
35,3140.0,0.43
36,3140.0,0.49
37,3140.0,0.51
38,3140.0,0.45
39,3140.0,0.41
40,3160.0,0.55
41,3160.0,0.5
42,3160.0,0.55
43,3160.0,0.49
44,3160.0,0.54
45,3180.0,0.49
46,3180.0,0.57
47,3180.0,0.59
48,3180.0,0.55
49,3180.0,0.55
50,3200.0,0.53
51,3200.0,0.62
52,3200.0,0.6
53,3200.0,0.58
54,3200.0,0.6
55,3220.0,0.57
56,3220.0,0.52
57,3220.0,0.62
58,3220.0,0.52
59,3220.0,0.61
60,3240.0,0.57
61,3240.0,0.6
62,3240.0,0.63
63,3240.0,0.61
64,3240.0,0.6
65,3260.0,0.63
66,3260.0,0.64
67,3260.0,0.51
68,3260.0,0.6
69,3260.0,0.65
70,3280.0,0.66
71,3280.0,0.66
72,3280.0,0.67
73,3280.0,0.65
74,3280.0,0.65
75,3300.0,0.56
76,3300.0,0.56
77,3300.0,0.64
78,3300.0,0.61
79,3300.0,0.61
80,3320.0,0.59
81,3320.0,0.68
82,3320.0,0.67
83,3320.0,0.69
84,3320.0,0.69
85,3340.0,0.55
86,3340.0,0.69
87,3340.0,0.6
88,3340.0,0.65
89,3340.0,0.57
90,3360.0,0.67
91,3360.0,0.67
92,3360.0,0.57
93,3360.0,0.7
94,3360.0,0.66
95,3380.0,0.7
96,3380.0,0.61
97,3380.0,0.68
98,3380.0,0.7
99,3380.0,0.63
100,3400.0,0.71
101,3400.0,0.63
102,3400.0,0.66
103,3400.0,0.69
104,3400.0,0.71
105,3420.0,0.64
106,3420.0,0.71
107,3420.0,0.72
108,3420.0,0.59
109,3420.0,0.69
110,3440.0,0.63
111,3440.0,0.69
112,3440.0,0.67
113,3440.0,0.66
114,3440.0,0.72
115,3460.0,0.73
116,3460.0,0.69
117,3460.0,0.71
118,3460.0,0.73
119,3460.0,0.66
120,3480.0,0.73
121,3480.0,0.67
122,3480.0,0.68
123,3480.0,0.71
124,3480.0,0.68
125,3500.0,0.71
126,3500.0,0.72
127,3500.0,0.65
128,3500.0,0.73
129,3500.0,0.66
130,3520.0,0.69
131,3520.0,0.7
132,3520.0,0.69
133,3520.0,0.71
134,3520.0,0.69
135,3540.0,0.68
136,3540.0,0.75
137,3540.0,0.69
138,3540.0,0.7
139,3540.0,0.75
140,3560.0,0.71
141,3560.0,0.66
142,3560.0,0.66
143,3560.0,0.74
144,3560.0,0.67
145,3580.0,0.71
