,time,signal
0,0.0,0.42
1,0.0,0.21
2,0.0,0.34
3,0.0,0.16
4,0.0,0.3
5,20.076305220883533,0.39
6,20.076305220883533,0.36
7,20.076305220883533,0.07
8,20.076305220883533,0.23
9,20.076305220883533,0.07
10,40.15261044176707,0.37
11,40.15261044176707,0.28
12,40.15261044176707,0.34
13,40.15261044176707,0.11
14,40.15261044176707,0.3
15,60.2289156626506,0.45
16,60.2289156626506,0.15
17,60.2289156626506,0.37
18,60.2289156626506,0.25
19,60.2289156626506,0.29
20,80.30522088353413,0.39
21,80.30522088353413,0.31
22,80.30522088353413,0.3
23,80.30522088353413,0.41
24,80.30522088353413,0.26
25,100.38152610441767,0.22
26,100.38152610441767,0.21
27,100.38152610441767,0.32
28,100.38152610441767,0.28
29,100.38152610441767,0.3
30,120.4578313253012,0.11
31,120.4578313253012,0.24
32,120.4578313253012,0.3
33,120.4578313253012,0.29
34,120.4578313253012,0.27
35,140.53413654618473,0.17
36,140.53413654618473,0.03
37,140.53413654618473,0.41
38,140.53413654618473,0.25
39,140.53413654618473,0.31
40,160.61044176706827,0.14
41,160.61044176706827,0.33
42,160.61044176706827,0.28
43,160.61044176706827,0.4
44,160.61044176706827,0.23
45,180.6867469879518,0.27
46,180.6867469879518,0.03
47,180.6867469879518,0.18
48,180.6867469879518,0.42
49,180.6867469879518,0.26
50,200.76305220883535,0.02
51,200.76305220883535,0.18
52,200.76305220883535,0.4
53,200.76305220883535,0.34
54,200.76305220883535,0.13
55,220.83935742971886,0.36
56,220.83935742971886,0.38
57,220.83935742971886,0.04
58,220.83935742971886,0.01
59,220.83935742971886,0.16
60,240.9156626506024,0.36
61,240.9156626506024,0.28
62,240.9156626506024,0.11
63,240.9156626506024,0.24
64,240.9156626506024,0.39
65,260.99196787148594,0.22
66,260.99196787148594,0.25
67,260.99196787148594,0.25
68,260.99196787148594,0.07
69,260.99196787148594,0.15
70,281.06827309236945,0.08
71,281.06827309236945,0.17
72,281.06827309236945,0.17
73,281.06827309236945,0.3
74,281.06827309236945,0.29
75,301.144578313253,0.17
76,301.144578313253,0.37
77,301.144578313253,0.34
78,301.144578313253,-0.0
79,301.144578313253,0.06
80,321.22088353413653,0.29
