,Steps,ACC,method
0,0,0.19,direct
1,0,0.27,direct
2,0,0.13,direct
3,0,0.17,direct
4,0,0.11,direct
5,30.29292929,0.14,direct
6,30.29292929,0.3,direct
7,30.29292929,0.34,direct
8,30.29292929,0.19,direct
9,30.29292929,0.37,direct
10,60.58585859,0.45,direct
11,60.58585859,0.16,direct
12,60.58585859,0.38,direct
13,60.58585859,0.22,direct
14,60.58585859,0.27,direct
15,90.87878788,0.45,direct
16,90.87878788,0.28,direct
17,90.87878788,0.33,direct
18,90.87878788,0.42,direct
19,90.87878788,0.4,direct
20,121.1717172,0.12,direct
21,121.1717172,0.36,direct
22,121.1717172,0.18,direct
23,121.1717172,0.2,direct
24,121.1717172,0.21,direct
25,151.4646465,0.33,direct
26,151.4646465,0.33,direct
27,151.4646465,0.35,direct
28,151.4646465,0.38,direct
29,151.4646465,0.44,direct
30,181.7575758,0.38,direct
31,181.7575758,0.1,direct
32,181.7575758,0.36,direct
33,181.7575758,0.52,direct
34,181.7575758,0.38,direct
35,212.0505051,0.49,direct
36,212.0505051,0.39,direct
37,212.0505051,0.42,direct
38,212.0505051,0.38,direct
39,212.0505051,0.53,direct
40,242.3434343,0.41,direct
41,242.3434343,0.16,direct
42,242.3434343,0.5,direct
43,242.3434343,0.5,direct
44,242.3434343,0.36,direct
45,272.6363636,0.18,direct
46,272.6363636,0.38,direct
47,272.6363636,0.5,direct
48,272.6363636,0.31,direct
49,272.6363636,0.38,direct
50,302.9292929,0.43,direct
51,302.9292929,0.35,direct
52,302.9292929,0.34,direct
53,302.9292929,0.33,direct
54,302.9292929,0.57,direct
55,333.2222222,0.36,direct
56,333.2222222,0.27,direct
57,333.2222222,0.42,direct
58,333.2222222,0.46,direct
59,333.2222222,0.45,direct
60,363.5151515,0.28,direct
61,363.5151515,0.45,direct
62,363.5151515,0.25,direct
63,363.5151515,0.33,direct
64,363.5151515,0.55,direct
65,393.8080808,0.47,direct
66,393.8080808,0.58,direct
67,393.8080808,0.61,direct
68,393.8080808,0.58,direct
69,393.8080808,0.51,direct
70,424.1010101,0.41,direct
71,424.1010101,0.51,direct
72,424.1010101,0.24,direct
73,424.1010101,0.62,direct
74,424.1010101,0.54,direct
75,454.3939394,0.43,direct
76,454.3939394,0.42,direct
77,454.3939394,0.57,direct
78,454.3939394,0.6,direct
79,454.3939394,0.58,direct
80,484.6868687,0.52,direct
81,484.6868687,0.62,direct
82,484.6868687,0.34,direct
83,484.6868687,0.48,direct
84,484.6868687,0.25,direct
85,514.979798,0.42,direct
86,514.979798,0.29,direct
87,514.979798,0.54,direct
88,514.979798,0.31,direct
89,514.979798,0.61,direct
90,545.2727273,0.66,direct
91,545.2727273,0.62,direct
92,545.2727273,0.5,direct
93,545.2727273,0.43,direct
94,545.2727273,0.61,direct
95,575.5656566,0.56,direct
96,575.5656566,0.43,direct
97,575.5656566,0.54,direct
98,575.5656566,0.48,direct
99,575.5656566,0.54,direct
100,605.8585859,0.47,direct
101,605.8585859,0.69,direct
102,605.8585859,0.51,direct
103,605.8585859,0.46,direct
104,605.8585859,0.67,direct
105,636.1515152,0.56,direct
106,636.1515152,0.62,direct
107,636.1515152,0.59,direct
108,636.1515152,0.59,direct
109,636.1515152,0.7,direct
110,666.4444444,0.52,direct
111,666.4444444,0.68,direct
112,666.4444444,0.49,direct
113,666.4444444,0.7,direct
114,666.4444444,0.68,direct
115,696.7373737,0.52,direct
116,696.7373737,0.7,direct
117,696.7373737,0.61,direct
118,696.7373737,0.68,direct
119,696.7373737,0.69,direct
120,727.030303,0.62,direct
121,727.030303,0.59,direct
122,727.030303,0.68,direct
123,727.030303,0.57,direct
124,727.030303,0.6,direct
125,757.3232323,0.62,direct
126,757.3232323,0.67,direct
127,757.3232323,0.69,direct
128,757.3232323,0.67,direct
129,757.3232323,0.49,direct
130,787.6161616,0.63,direct
131,787.6161616,0.69,direct
132,787.6161616,0.64,direct
133,787.6161616,0.67,direct
134,787.6161616,0.62,direct
135,817.9090909,0.57,direct
136,817.9090909,0.69,direct
137,817.9090909,0.67,direct
138,817.9090909,0.6,direct
139,817.9090909,0.67,direct
140,848.2020202,0.62,direct
141,848.2020202,0.56,direct
142,848.2020202,0.7,direct
143,848.2020202,0.75,direct
144,848.2020202,0.61,direct
145,878.4949495,0.73,direct
146,878.4949495,0.54,direct
147,878.4949495,0.71,direct
148,878.4949495,0.62,direct
149,878.4949495,0.5,direct
150,908.7878788,0.72,direct
151,908.7878788,0.64,direct
152,908.7878788,0.49,direct
153,908.7878788,0.51,direct
154,908.7878788,0.72,direct
155,939.0808081,0.7,direct
156,939.0808081,0.77,direct
157,939.0808081,0.4,direct
158,939.0808081,0.67,direct
159,939.0808081,0.39,direct
160,969.3737374,0.65,direct
161,969.3737374,0.54,direct
162,969.3737374,0.72,direct
163,969.3737374,0.53,direct
164,969.3737374,0.72,direct
165,999.6666667,0.79,direct
