,Steps,ASR,method
0,3000,0.27,direct
1,3000,0.23,direct
2,3000,0.2,direct
3,3000,0.27,direct
4,3000,0.26,direct
5,3020,0.31,direct
6,3020,0.28,direct
7,3020,0.24,direct
8,3020,0.34,direct
9,3020,0.27,direct
10,3040,0.38,direct
11,3040,0.34,direct
12,3040,0.39,direct
13,3040,0.33,direct
14,3040,0.32,direct
15,3060,0.32,direct
16,3060,0.3,direct
17,3060,0.4,direct
18,3060,0.43,direct
19,3060,0.35,direct
20,3080,0.4,direct
21,3080,0.37,direct
22,3080,0.36,direct
23,3080,0.39,direct
24,3080,0.38,direct
25,3100,0.45,direct
26,3100,0.49,direct
27,3100,0.46,direct
28,3100,0.44,direct
29,3100,0.44,direct
30,3120,0.45,direct
31,3120,0.53,direct
32,3120,0.51,direct
33,3120,0.48,direct
34,3120,0.48,direct
35,3140,0.43,direct
36,3140,0.49,direct
37,3140,0.51,direct
38,3140,0.45,direct
39,3140,0.41,direct
40,3160,0.55,direct
41,3160,0.5,direct
42,3160,0.55,direct
43,3160,0.49,direct
44,3160,0.54,direct
45,3180,0.49,direct
46,3180,0.57,direct
47,3180,0.59,direct
48,3180,0.55,direct
49,3180,0.55,direct
50,3200,0.53,direct
51,3200,0.62,direct
52,3200,0.6,direct
53,3200,0.58,direct
54,3200,0.6,direct
55,3220,0.57,direct
56,3220,0.52,direct
57,3220,0.62,direct
58,3220,0.52,direct
59,3220,0.61,direct
60,3240,0.57,direct
61,3240,0.6,direct
62,3240,0.63,direct
63,3240,0.61,direct
64,3240,0.6,direct
65,3260,0.63,direct
66,3260,0.64,direct
67,3260,0.51,direct
68,3260,0.6,direct
69,3260,0.65,direct
70,3280,0.66,direct
71,3280,0.66,direct
72,3280,0.67,direct
73,3280,0.65,direct
74,3280,0.65,direct
75,3300,0.56,direct
76,3300,0.56,direct
77,3300,0.64,direct
78,3300,0.61,direct
79,3300,0.61,direct
80,3320,0.59,direct
81,3320,0.68,direct
82,3320,0.67,direct
83,3320,0.69,direct
84,3320,0.69,direct
85,3340,0.55,direct
86,3340,0.69,direct
87,3340,0.6,direct
88,3340,0.65,direct
89,3340,0.57,direct
90,3360,0.67,direct
91,3360,0.67,direct
92,3360,0.57,direct
93,3360,0.7,direct
94,3360,0.66,direct
95,3380,0.7,direct
96,3380,0.61,direct
97,3380,0.68,direct
98,3380,0.7,direct
99,3380,0.63,direct
100,3400,0.71,direct
101,3400,0.63,direct
102,3400,0.66,direct
103,3400,0.69,direct
104,3400,0.71,direct
105,3420,0.64,direct
106,3420,0.71,direct
107,3420,0.72,direct
108,3420,0.59,direct
109,3420,0.69,direct
110,3440,0.63,direct
111,3440,0.69,direct
112,3440,0.67,direct
113,3440,0.66,direct
114,3440,0.72,direct
115,3460,0.73,direct
116,3460,0.69,direct
117,3460,0.71,direct
118,3460,0.73,direct
119,3460,0.66,direct
120,3480,0.73,direct
121,3480,0.67,direct
122,3480,0.68,direct
123,3480,0.71,direct
124,3480,0.68,direct
125,3500,0.71,direct
126,3500,0.72,direct
127,3500,0.65,direct
128,3500,0.73,direct
129,3500,0.66,direct
130,3520,0.69,direct
131,3520,0.7,direct
132,3520,0.69,direct
133,3520,0.71,direct
134,3520,0.69,direct
135,3540,0.68,direct
136,3540,0.75,direct
137,3540,0.69,direct
138,3540,0.7,direct
139,3540,0.75,direct
140,3560,0.71,direct
141,3560,0.66,direct
142,3560,0.66,direct
143,3560,0.74,direct
144,3560,0.67,direct
145,3580,0.71,direct
146,3580,0.73,direct
147,3580,0.74,direct
148,3580,0.71,direct
149,3580,0.74,direct
150,3600,0.68,direct
151,3600,0.62,direct
152,3600,0.75,direct
153,3600,0.72,direct
154,3600,0.67,direct
155,3620,0.71,direct
156,3620,0.77,direct
157,3620,0.73,direct
158,3620,0.75,direct
159,3620,0.74,direct
160,3640,0.73,direct
161,3640,0.73,direct
162,3640,0.77,direct
163,3640,0.75,direct
164,3640,0.77,direct
165,3660,0.64,direct
166,3660,0.64,direct
167,3660,0.72,direct
168,3660,0.67,direct
169,3660,0.77,direct
170,3680,0.73,direct
171,3680,0.71,direct
172,3680,0.77,direct
173,3680,0.72,direct
174,3680,0.73,direct
175,3700,0.68,direct
176,3700,0.75,direct
177,3700,0.73,direct
178,3700,0.74,direct
179,3700,0.65,direct
180,3720,0.75,direct
181,3720,0.68,direct
182,3720,0.73,direct
183,3720,0.77,direct
184,3720,0.64,direct
185,3740,0.73,direct
186,3740,0.71,direct
187,3740,0.69,direct
188,3740,0.77,direct
189,3740,0.71,direct
190,3760,0.72,direct
191,3760,0.64,direct
192,3760,0.73,direct
193,3760,0.76,direct
194,3760,0.69,direct
195,3780,0.74,direct
196,3780,0.74,direct
197,3780,0.77,direct
198,3780,0.68,direct
199,3780,0.68,direct
200,3800,0.76,direct
201,3800,0.76,direct
202,3800,0.77,direct
203,3800,0.72,direct
204,3800,0.72,direct
205,3820,0.77,direct
206,3820,0.74,direct
207,3820,0.76,direct
208,3820,0.71,direct
209,3820,0.64,direct
210,3840,0.73,direct
211,3840,0.75,direct
212,3840,0.71,direct
213,3840,0.74,direct
214,3840,0.78,direct
215,3860,0.7,direct
216,3860,0.73,direct
217,3860,0.77,direct
218,3860,0.78,direct
219,3860,0.76,direct
220,3880,0.78,direct
221,3880,0.74,direct
222,3880,0.68,direct
223,3880,0.77,direct
224,3880,0.79,direct
225,3900,0.77,direct
226,3900,0.78,direct
227,3900,0.77,direct
228,3900,0.69,direct
229,3900,0.74,direct
230,3920,0.78,direct
231,3920,0.79,direct
232,3920,0.73,direct
233,3920,0.74,direct
234,3920,0.72,direct
235,3940,0.77,direct
236,3940,0.78,direct
237,3940,0.75,direct
238,3940,0.78,direct
239,3940,0.72,direct
240,3960,0.67,direct
241,3960,0.74,direct
242,3960,0.75,direct
243,3960,0.65,direct
244,3960,0.75,direct
245,3980,0.75,direct
246,3980,0.75,direct
247,3980,0.74,direct
248,3980,0.77,direct
249,3980,0.64,direct
250,4000,0.31,direct
251,4000,0.21,direct
252,4000,0.29,direct
253,4000,0.21,direct
254,4000,0.3,direct
255,4020,0.27,direct
256,4020,0.29,direct
257,4020,0.31,direct
258,4020,0.24,direct
259,4020,0.3,direct
260,4040,0.35,direct
261,4040,0.32,direct
262,4040,0.28,direct
263,4040,0.32,direct
264,4040,0.27,direct
265,4060,0.33,direct
266,4060,0.35,direct
267,4060,0.31,direct
268,4060,0.37,direct
269,4060,0.36,direct
270,4080,0.34,direct
271,4080,0.39,direct
272,4080,0.38,direct
273,4080,0.31,direct
274,4080,0.4,direct
275,4100,0.42,direct
276,4100,0.35,direct
277,4100,0.38,direct
278,4100,0.32,direct
279,4100,0.41,direct
280,4120,0.41,direct
281,4120,0.45,direct
282,4120,0.3,direct
283,4120,0.43,direct
284,4120,0.38,direct
285,4140,0.39,direct
286,4140,0.41,direct
287,4140,0.45,direct
288,4140,0.46,direct
289,4140,0.35,direct
290,4160,0.35,direct
291,4160,0.34,direct
292,4160,0.48,direct
293,4160,0.47,direct
294,4160,0.39,direct
295,4180,0.4,direct
296,4180,0.43,direct
297,4180,0.43,direct
298,4180,0.49,direct
299,4180,0.45,direct
300,4200,0.51,direct
301,4200,0.45,direct
302,4200,0.51,direct
303,4200,0.5,direct
304,4200,0.45,direct
305,4220,0.49,direct
306,4220,0.5,direct
307,4220,0.5,direct
308,4220,0.43,direct
309,4220,0.49,direct
310,4240,0.53,direct
311,4240,0.4,direct
312,4240,0.48,direct
313,4240,0.54,direct
314,4240,0.45,direct
315,4260,0.54,direct
316,4260,0.48,direct
317,4260,0.48,direct
318,4260,0.41,direct
319,4260,0.51,direct
320,4280,0.5,direct
321,4280,0.52,direct
322,4280,0.56,direct
323,4280,0.56,direct
324,4280,0.54,direct
325,4300,0.55,direct
326,4300,0.53,direct
327,4300,0.49,direct
328,4300,0.51,direct
329,4300,0.56,direct
330,4320,0.5,direct
331,4320,0.49,direct
332,4320,0.51,direct
333,4320,0.51,direct
334,4320,0.55,direct
335,4340,0.46,direct
336,4340,0.5,direct
337,4340,0.58,direct
338,4340,0.56,direct
339,4340,0.59,direct
340,4360,0.52,direct
341,4360,0.57,direct
342,4360,0.56,direct
343,4360,0.45,direct
344,4360,0.57,direct
345,4380,0.58,direct
346,4380,0.57,direct
347,4380,0.49,direct
348,4380,0.48,direct
349,4380,0.51,direct
350,4400,0.58,direct
351,4400,0.61,direct
352,4400,0.57,direct
353,4400,0.53,direct
354,4400,0.58,direct
355,4420,0.61,direct
356,4420,0.56,direct
357,4420,0.56,direct
358,4420,0.62,direct
359,4420,0.55,direct
360,4440,0.62,direct
361,4440,0.54,direct
362,4440,0.56,direct
